id,orig,C,T,R,nC,nT,nR,jdir,checker_pass,cid,order,crit_key,criterionId
R2-6-split-e2-e37,established,established,cannot-tell,cannot-tell,3,1,1,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json,True,R2-6-split-e2,37,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-1/events.json|R2-6-split,c1
R2-4-independent-e2-e38,established,established,established,cannot-tell,3,5,1,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,38,r2/f9b27dd/P3-judge-run/R2-4-independent/rep-1/events.json|R2-4-independent,c2
R2-4-independent-e2-e39,established,established,established,cannot-tell,3,3,2,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json,True,R2-4-independent-e2,39,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-1/events.json|R2-4-independent,c2
R2-3-spec-e2-e40,cannot-tell,cannot-tell,established,cannot-tell,2,4,4,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json,True,R2-3-spec-e2,40,r2/f9b27dd/P3-judge-run-b/R2-3-spec/rep-1/events.json|R2-3-spec,c1
R2-4-independent-e2-e40,established,established,established,cannot-tell,4,5,2,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-2/events.json,True,R2-4-independent-e2,40,r2/f9b27dd/P3-judge-run-b/R2-4-independent/rep-2/events.json|R2-4-independent,c2
R2-2-module-e2-e44,established,established,cannot-tell,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,True,R2-2-module-e2,44,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json|R2-2-module,c2
R2-2-module-e5-e51,established,established,established,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json,True,R2-2-module-e5,51,r2/f9b27dd/P3-judge-run/R2-2-module/rep-1/events.json|R2-2-module,c2
R2-2-module-e2-e52,established,established,not-established,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json,True,R2-2-module-e2,52,r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-2/events.json|R2-2-module,c2
R2-6-split-e2-e52,established,established,established,established,1,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,52,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c2
R2-6-split-e2-e62,established,established,established,cannot-tell,3,3,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,62,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c2
R2-6-split-e2-e70,cannot-tell,established,established,cannot-tell,4,3,3,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json,True,R2-6-split-e2,70,r2/f9b27dd/P3-judge-run/R2-6-split/rep-1/events.json|R2-6-split,c1
R2-6-split-e2-e71,cannot-tell,established,established,cannot-tell,4,3,3,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json,True,R2-6-split-e2,71,r2/f9b27dd/P3-judge-run-b/R2-6-split/rep-2/events.json|R2-6-split,c1
